10	v	man	cos	2	0.709090909091
15	all	jensen	man	16	0.709010840108
5	v	euc	euc	4	0.708815426997
15	v	euc	cos	2	0.708815426997
15	v	max	euc	8	0.707713498623
10	v	euc	cos	2	0.706336088154
10	all	man	man	16	0.706187895212
10	v	max	max	8	0.70523415978
10	all	jensen	max	16	0.704945799458
15	all	jensen	euc	8	0.704767246214
10	all	jensen	euc	8	0.704542905216
10	all	jensen	man	8	0.704206393718
15	v	max	cos	4	0.704132231405
5	all	jensen	cos	8	0.70398205272
5	v	euc	man	2	0.703856749311
10	all	man	euc	16	0.703703703704
5	all	man	man	16	0.703364950316
5	all	jensen	max	16	0.702913279133
15	v	max	max	8	0.702754820937
10	v	max	cos	4	0.702754820937
15	all	man	euc	16	0.702574525745
5	v	jensen	cos	2	0.702479338843
15	v	max	man	4	0.702479338843
10	v	max	euc	8	0.702479338843
15	all	man	man	16	0.702235772358
15	v	max	max	4	0.702203856749
5	all	man	euc	16	0.701784101174
10	v	max	man	8	0.701652892562
15	v	max	euc	4	0.701377410468
5	all	jensen	euc	8	0.701065619742
15	all	jensen	max	16	0.700767841012
15	all	man	cos	8	0.699607403253
15	v	max	man	8	0.699449035813
5	v	cos	cos	2	0.698898071625
15	all	jensen	man	8	0.698373527762
10	v	max	max	4	0.698347107438
10	all	jensen	max	8	0.698037016265
5	all	man	cos	8	0.697812675266
5	v	max	euc	8	0.69696969697
5	v	max	cos	8	0.69696969697
5	v	man	cos	2	0.696418732782
10	v	max	euc	4	0.696418732782
5	all	jensen	man	8	0.696242288278
10	all	man	cos	8	0.696130117779
5	all	man	max	16	0.69591237579
5	v	max	man	8	0.695867768595
10	all	man	max	16	0.695799457995
15	all	man	euc	8	0.695681435782
15	all	jensen	max	8	0.695681435782
5	v	euc	cos	2	0.695592286501
10	all	man	euc	8	0.695457094784
15	v	max	euc	2	0.695041322314
10	all	man	man	8	0.694784071789
5	all	man	euc	8	0.693886707796
5	all	jensen	max	8	0.693886707796
15	v	max	man	2	0.693388429752
5	v	max	max	8	0.693112947658
15	all	man	man	8	0.693101514302
5	v	max	cos	4	0.692561983471
10	v	max	man	4	0.69173553719
15	all	man	max	16	0.691282746161
10	all	man	max	8	0.691194615816
10	all	cos	cos	16	0.689814814815
5	all	man	man	8	0.68939988783
15	all	man	max	8	0.689063376332
15	v	max	max	2	0.688980716253
5	all	man	max	8	0.688278182838
10	v	max	euc	2	0.688154269972
10	v	max	man	2	0.687052341598
15	all	cos	cos	16	0.686088527552
10	v	max	max	2	0.685950413223
5	v	max	euc	4	0.684848484848
5	v	max	max	4	0.684022038567
15	all	jensen	euc	4	0.683454851374
10	all	cos	man	16	0.682023486902
5	all	cos	cos	16	0.680894308943
15	all	jensen	max	4	0.680762759394
5	v	max	man	4	0.680716253444
15	all	jensen	man	4	0.6799775659
15	all	jensen	cos	4	0.679753224902
10	all	jensen	cos	4	0.679753224902
15	v	max	cos	2	0.679614325069
15	all	cos	man	16	0.679539295393
15	all	man	man	4	0.67863151991
10	all	jensen	euc	4	0.677734155917
10	v	max	cos	2	0.677685950413
5	all	cos	man	16	0.677506775068
10	all	jensen	max	4	0.677173303421
10	all	cos	euc	16	0.677055103884
15	all	man	euc	4	0.676836791924
15	all	cos	euc	16	0.676490514905
10	all	man	man	4	0.676388109927
5	all	cos	euc	16	0.676264679313
5	v	max	euc	2	0.675757575758
15	all	cos	man	8	0.675266404936
10	all	jensen	man	4	0.674817722939
10	all	man	euc	4	0.674593381941
15	all	man	cos	4	0.674481211441
5	v	max	max	2	0.674380165289
5	v	max	man	2	0.674380165289
15	all	cos	cos	8	0.674369040942
10	all	man	cos	4	0.673471676949
15	all	man	max	4	0.673135165451
5	all	jensen	man	4	0.671340437465
5	all	jensen	euc	4	0.671116096467
10	all	cos	max	16	0.670505871725
5	all	man	euc	4	0.670330902973
10	all	man	max	4	0.670218732473
15	all	cos	euc	8	0.670106561974
10	all	cos	cos	8	0.669994391475
5	all	man	man	4	0.669882220976
10	all	cos	euc	8	0.669545709478
15	all	cos	max	16	0.669037940379
